Stress_class	Stress_info	Pathogen	Sample_description	BioSample	BioProject	Tissue	Source_name	Treatment	Project_title	Project_des
NA	NA	NA	NA	SAMD00161793	PRJDB7775	shoot	NA	control	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161794	PRJDB7775	shoot	NA	thinning	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161795	PRJDB7775	shoot	NA	control	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161796	PRJDB7775	shoot	NA	thinning	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161797	PRJDB7775	shoot	NA	control	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161798	PRJDB7775	shoot	NA	thinning	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161799	PRJDB7775	shoot	NA	control	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
NA	NA	NA	NA	SAMD00161792	PRJDB7775	shoot	NA	thinning	Effect of thinning at R5 on transcriptome in soybean main stem	A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
abiotic	oxygen	NA	stress_BR4_4h	SAMEA104041778	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	stress_Embrapa_4h	SAMEA104041784	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	stress_Embrapa_30min	SAMEA104041783	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	stress_BR4_28h	SAMEA104041776	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	stress_BR4_30min	SAMEA104041777	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	control_Embrapa_4h	SAMEA104041787	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	control_BR4_4h	SAMEA104041781	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	control_Embrapa_28h	SAMEA104041785	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	control_BR4_28h	SAMEA104041779	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	control_BR4_30min	SAMEA104041780	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	stress_Embrapa_28h	SAMEA104041782	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
abiotic	oxygen	NA	control_Embrapa_30min	SAMEA104041786	PRJEB20727	root	NA	NA	RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4)	"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
NA	NA	NA	NA	SAMEA5071875	PRJEB29567	root	NA	NA	RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed	GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.
NA	NA	NA	NA	SAMEA5071880	PRJEB29567	root	NA	NA	RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed	GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.
NA	NA	NA	NA	SAMEA5071878	PRJEB29567	root	NA	NA	RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed	GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.
NA	NA	NA	NA	SAMEA5071881	PRJEB29567	root	NA	NA	RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed	GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.
NA	NA	NA	NA	SAMEA5071874	PRJEB29567	root	NA	NA	RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed	GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.
NA	NA	NA	NA	SAMEA5071879	PRJEB29567	root	NA	NA	RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed	GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.
