Stress_class	Stress_info	Pathogen	Sample_description	BioSample	BioProject	Tissue	Source_name	Treatment	PubMed	Study_title	Study_abstract
NA	NA	NA	NA	SAMEA4395177	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395178	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395179	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395180	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395181	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395182	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395183	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMN00829056	PRJNA109285	leaves	0	0	0	Glycine max strain:Bragg Transcriptome or Gene expression	Establishment of the nitrogen-fixing nodulation symbiosis between legumes and rhizobia requires plant-wide reprogramming to allow infection and development of nodules. To identify gene expression changes that occur in response to nodulation or in response to nodulation signals we used an RNAseq based transcriptomics approach.
NA	NA	NA	NA	SAMN00829198	PRJNA109285	leaves	0	0	0	Glycine max strain:Bragg Transcriptome or Gene expression	Establishment of the nitrogen-fixing nodulation symbiosis between legumes and rhizobia requires plant-wide reprogramming to allow infection and development of nodules. To identify gene expression changes that occur in response to nodulation or in response to nodulation signals we used an RNAseq based transcriptomics approach.
NA	NA	NA	NA	SAMN00010675	PRJNA126469	seed	Seed	0	21398260	Transcriptome changes in soybean seeds resulting from RNAi suppression of seed storage proteins	We report the changes in transcriptome that results from RNAi suppression of 7S and 11S storage protein synthesis in soybean seeds
NA	NA	NA	NA	SAMN00010676	PRJNA126469	seed	Seed	0	21398260	Transcriptome changes in soybean seeds resulting from RNAi suppression of seed storage proteins	We report the changes in transcriptome that results from RNAi suppression of 7S and 11S storage protein synthesis in soybean seeds
NA	NA	NA	NA	SAMN00265076	PRJNA140079	embryo	Laser-captured embryo proper region from globular-stage embryo	0	0	Transcript Profiling of Soybean Seed Compartments Using Laser Capture Microdissection Coupled With RNA-Seq	We used laser capture microdissection (LCM) to capture soybean seed compartments and profiled the transcriptomes of several compartments using next-generation sequencing.  We profiled the transcriptomes of the embryo-proper and the suspensor region from globular stage embryos and the seed coat parenchyma layer of early maturation stage seeds using the Illumina GAIIx system. Overall design: Illumina sequencing of transcripts from laser-captured embryo proper and suspensor of globular stage embryo and seed coat parenchyma layer of the early maturation stage seed.
NA	NA	NA	NA	SAMN00265077	PRJNA140079	embryo	Laser-captured suspensor region from globular-stage embryo	0	0	Transcript Profiling of Soybean Seed Compartments Using Laser Capture Microdissection Coupled With RNA-Seq	We used laser capture microdissection (LCM) to capture soybean seed compartments and profiled the transcriptomes of several compartments using next-generation sequencing.  We profiled the transcriptomes of the embryo-proper and the suspensor region from globular stage embryos and the seed coat parenchyma layer of early maturation stage seeds using the Illumina GAIIx system. Overall design: Illumina sequencing of transcripts from laser-captured embryo proper and suspensor of globular stage embryo and seed coat parenchyma layer of the early maturation stage seed.
NA	NA	NA	NA	SAMN00265078	PRJNA140079	seed coat	Laser-captured seed coat parenchyma region from early maturation-stage seed	0	0	Transcript Profiling of Soybean Seed Compartments Using Laser Capture Microdissection Coupled With RNA-Seq	We used laser capture microdissection (LCM) to capture soybean seed compartments and profiled the transcriptomes of several compartments using next-generation sequencing.  We profiled the transcriptomes of the embryo-proper and the suspensor region from globular stage embryos and the seed coat parenchyma layer of early maturation stage seeds using the Illumina GAIIx system. Overall design: Illumina sequencing of transcripts from laser-captured embryo proper and suspensor of globular stage embryo and seed coat parenchyma layer of the early maturation stage seed.
NA	NA	NA	NA	SAMN00264986	PRJNA140453	cotyledon	Embryonic cotyledons of mid-maturation (B1) stage embryos	0	0	Epigenetic Regulation of the Transition from Seed Maturation to Germination in Soybean	How epigenetics is involved in the transition from seed maturation to seed germination largely remains elusive. To uncover the possible role of epigenetics in gene expression during the transition from seed maturation to seed germination in soybean
NA	NA	NA	NA	SAMN00264987	PRJNA140453	cotyledon	Embryonic cotyledons from late-maturation (AA1) stage embryos	0	0	Epigenetic Regulation of the Transition from Seed Maturation to Germination in Soybean	How epigenetics is involved in the transition from seed maturation to seed germination largely remains elusive. To uncover the possible role of epigenetics in gene expression during the transition from seed maturation to seed germination in soybean
NA	NA	NA	NA	SAMN00264989	PRJNA140453	cotyledon	Cotyledons of seedlings six days after imbibition	0	0	Epigenetic Regulation of the Transition from Seed Maturation to Germination in Soybean	How epigenetics is involved in the transition from seed maturation to seed germination largely remains elusive. To uncover the possible role of epigenetics in gene expression during the transition from seed maturation to seed germination in soybean
NA	NA	NA	NA	SAMN00264988	PRJNA140453	seed	Whole dry seeds	0	0	Epigenetic Regulation of the Transition from Seed Maturation to Germination in Soybean	How epigenetics is involved in the transition from seed maturation to seed germination largely remains elusive. To uncover the possible role of epigenetics in gene expression during the transition from seed maturation to seed germination in soybean
NA	NA	NA	NA	SAMN00740385	PRJNA149185	shoot	shoot tip	0	22029708	Transcript profiling reveals expression differences in wild-type and glabrous soybean lines	Two high throughput transcript sequencing methods
NA	NA	NA	NA	SAMN00740386	PRJNA149185	shoot	shoot tip	0	22029708	Transcript profiling reveals expression differences in wild-type and glabrous soybean lines	Two high throughput transcript sequencing methods
NA	NA	NA	NA	SAMN01779513	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779514	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779515	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779516	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779517	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779518	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779519	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779520	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779521	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779522	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779523	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01779524	PRJNA178155	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	23739894	public	0
NA	NA	NA	NA	SAMN01819907	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819908	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819909	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819910	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819911	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819912	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819913	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819914	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819915	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819916	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819917	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819918	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819919	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01819920	PRJNA182292	cotyledon	Germinating cotyledons	0	"25070765;25635113"	Transcription factors and glyoxylate cycle genes prominent in the transition of soybean cotyledons to the first functional leaves of the seedling	To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development
NA	NA	NA	NA	SAMN01832607	PRJNA184365	cotyledon	cotyledon	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832608	PRJNA184365	cotyledon	cotyledon	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832609	PRJNA184365	cotyledon	cotyledon	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832610	PRJNA184365	cotyledon	cotyledon	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832613	PRJNA184365	cotyledon	cotyledon	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832599	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832600	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832601	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832602	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832603	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832604	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832605	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832606	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832611	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832612	PRJNA184365	seed	whole seed	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
NA	NA	NA	NA	SAMN01832614	PRJNA184365	seed coat	seed coat	0	"23555009;25635113"	Using RNA-Seq to Profile Soybean Seed Development from Fertilization to Maturity	To understand gene expression networks leading to functional properties and compositional traits of the soybean seed
biotic	MAMP	MAMP	stress_LD	SAMN01886330	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_LD	SAMN01886331	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_LD	SAMN01886332	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_LDX	SAMN01886333	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_LDX	SAMN01886334	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_LDX	SAMN01886335	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_RIL-11268	SAMN01886336	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_RIL-11268	SAMN01886337	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_RIL-11268	SAMN01886338	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_RIL-11272	SAMN01886339	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_RIL-11272	SAMN01886340	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	stress_RIL-11272	SAMN01886341	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants treated with MAMPs	190 mmol PAR m-2s-1	0	"and 5 ml of MAMP solution [1 uM flagellin 22 (flg22; Genescript) and 50 ug of crab shell chitin (referred to as chitin in this study; Sigma-Aldrich)]"	public
biotic	MAMP	MAMP	control_LD	SAMN01886342	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_LD	SAMN01886343	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_LD	SAMN01886344	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_LDX	SAMN01886345	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_LDX	SAMN01886346	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_LDX	SAMN01886347	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_RIL-11268	SAMN01886348	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_RIL-11268	SAMN01886349	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_RIL-11268	SAMN01886350	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_RIL-11272	SAMN01886351	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_RIL-11272	SAMN01886352	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
biotic	MAMP	MAMP	control_RIL-11272	SAMN01886353	PRJNA186522	leaves	Trifoliolate leaves from three-week-old plants	190 mmol PAR m-2s-1	0	"and 5 ml of mock solution [autoclaved ddiH2O plus equivalent amount of dimethyl sulfoxide (DMSO; Fisher Scientific)"	public
NA	NA	NA	NA	SAMN01924502	PRJNA190191	leaves	0	0	0	Glycine max strain:Isoclark Transcriptome or Gene expression	Virus Induced Gene Silencing (VIGS) was used to silence the expression of soybean Replication Protein 3 (GmRPA3). RNAseq was used to compare gene expression in GmRPA3 silenced and empty vector treated plants.
NA	NA	NA	NA	SAMN01924503	PRJNA190191	leaves	0	0	0	Glycine max strain:Isoclark Transcriptome or Gene expression	Virus Induced Gene Silencing (VIGS) was used to silence the expression of soybean Replication Protein 3 (GmRPA3). RNAseq was used to compare gene expression in GmRPA3 silenced and empty vector treated plants.
NA	NA	NA	NA	SAMN01924548	PRJNA190191	leaves	0	0	0	Glycine max strain:Isoclark Transcriptome or Gene expression	Virus Induced Gene Silencing (VIGS) was used to silence the expression of soybean Replication Protein 3 (GmRPA3). RNAseq was used to compare gene expression in GmRPA3 silenced and empty vector treated plants.
NA	NA	NA	NA	SAMN01924549	PRJNA190191	leaves	0	0	0	Glycine max strain:Isoclark Transcriptome or Gene expression	Virus Induced Gene Silencing (VIGS) was used to silence the expression of soybean Replication Protein 3 (GmRPA3). RNAseq was used to compare gene expression in GmRPA3 silenced and empty vector treated plants.
NA	NA	NA	NA	SAMN01924550	PRJNA190191	leaves	0	0	0	Glycine max strain:Isoclark Transcriptome or Gene expression	Virus Induced Gene Silencing (VIGS) was used to silence the expression of soybean Replication Protein 3 (GmRPA3). RNAseq was used to compare gene expression in GmRPA3 silenced and empty vector treated plants.
