V2	V1
Glyma.18G088000	Glyma0121s00200
Glyma.18G088300	Glyma0121s00240
Glyma.14G160200	Glyma0146s00210
Glyma.03G062200	Glyma0165s50
Glyma.11G209200	Glyma0169s00200
Glyma.11G209100	Glyma0169s00210
Glyma.03G051000	Glyma0174s50
Glyma.15G204400	Glyma0175s50
Glyma.16G064600	Glyma0196s130
Glyma.16G064700	Glyma0196s50
Glyma.01G000100	Glyma01g00210
Glyma.01G000400	Glyma01g00300
Glyma.01G000600	Glyma01g00321
Glyma.01G000700	Glyma01g00341
Glyma.01G000800	Glyma01g00361
Glyma.01G000900	Glyma01g00380
Glyma.01G001000	Glyma01g00400
Glyma.01G001100	Glyma01g00410
Glyma.01G001200	Glyma01g00420
Glyma.01G001300	Glyma01g00430
Glyma.01G001400	Glyma01g00440
Glyma.01G001500	Glyma01g00450
Glyma.01G001600	Glyma01g00460
Glyma.01G001700	Glyma01g00470
Glyma.01G001800	Glyma01g00481
Glyma.01G001900	Glyma01g00490
Glyma.01G002000	Glyma01g00500
Glyma.01G002100	Glyma01g00510
Glyma.01G002200	Glyma01g00520
Glyma.01G002300	Glyma01g00530
Glyma.01G002400	Glyma01g00541
Glyma.01G002500	Glyma01g00551
Glyma.01G002600	Glyma01g00560
Glyma.01G002700	Glyma01g00570
Glyma.01G002800	Glyma01g00580
Glyma.01G002900	Glyma01g00590
Glyma.01G003000	Glyma01g00600
Glyma.01G003100	Glyma01g00610
Glyma.01G003200	Glyma01g00620
Glyma.01G003400	Glyma01g00640
Glyma.01G003500	Glyma01g00660
Glyma.01G003600	Glyma01g00670
Glyma.01G003700	Glyma01g00680
Glyma.01G003800	Glyma01g00690
Glyma.01G003900	Glyma01g00700
Glyma.01G004000	Glyma01g00710
Glyma.01G004100	Glyma01g00720
Glyma.01G004200	Glyma01g00730
Glyma.01G004300	Glyma01g00740
Glyma.01G004400	Glyma01g00750
Glyma.01G004500	Glyma01g00760
Glyma.01G004700	Glyma01g00780
Glyma.01G004800	Glyma01g00790
Glyma.01G004900	Glyma01g00805
Glyma.01G005000	Glyma01g00820
Glyma.01G005100	Glyma01g00840
Glyma.01G005200	Glyma01g00850
Glyma.01G005300	Glyma01g00860
Glyma.01G005400	Glyma01g00870
Glyma.01G005500	Glyma01g00880
Glyma.01G005600	Glyma01g00890
Glyma.01G005700	Glyma01g00900
Glyma.01G005800	Glyma01g00910
Glyma.01G005900	Glyma01g00920
Glyma.01G006000	Glyma01g00930
Glyma.01G006100	Glyma01g00940
Glyma.01G006200	Glyma01g00950
Glyma.01G006400	Glyma01g00960
Glyma.01G006500	Glyma01g00975
Glyma.01G006600	Glyma01g00990
Glyma.01G006700	Glyma01g01000
Glyma.01G006800	Glyma01g01010
Glyma.01G006900	Glyma01g01020
Glyma.01G007000	Glyma01g01030
Glyma.01G007100	Glyma01g01050
Glyma.01G007200	Glyma01g01060
Glyma.01G007300	Glyma01g01070
Glyma.01G007400	Glyma01g01080
Glyma.01G007500	Glyma01g01090
Glyma.01G007600	Glyma01g01101
Glyma.01G007700	Glyma01g01110
Glyma.01G007800	Glyma01g01120
Glyma.01G007900	Glyma01g01130
Glyma.01G008000	Glyma01g01140
Glyma.01G008100	Glyma01g01150
Glyma.01G008200	Glyma01g01160
Glyma.01G008300	Glyma01g01165
Glyma.01G008400	Glyma01g01170
Glyma.01G008500	Glyma01g01180
Glyma.01G008600	Glyma01g01190
Glyma.01G008700	Glyma01g01210
Glyma.01G008800	Glyma01g01220
Glyma.01G008900	Glyma01g01230
Glyma.01G009000	Glyma01g01240
Glyma.01G009100	Glyma01g01251
Glyma.01G009200	Glyma01g01260
Glyma.01G009300	Glyma01g01270
Glyma.01G009400	Glyma01g01280
Glyma.01G009500	Glyma01g01291
Glyma.01G009600	Glyma01g01300
Glyma.01G009700	Glyma01g01310
Glyma.01G009800	Glyma01g01330
Glyma.01G009900	Glyma01g01340
Glyma.01G010000	Glyma01g01350
Glyma.01G010100	Glyma01g01360
Glyma.01G010200	Glyma01g01370
Glyma.01G010300	Glyma01g01380
Glyma.01G010400	Glyma01g01390
Glyma.01G010500	Glyma01g01400
Glyma.01G010600	Glyma01g01410
Glyma.01G010700	Glyma01g01420
Glyma.01G010800	Glyma01g01431
Glyma.01G010900	Glyma01g01440
Glyma.01G011000	Glyma01g01450
Glyma.01G011100	Glyma01g01460
Glyma.01G011200	Glyma01g01470
Glyma.01G011300	Glyma01g01480
Glyma.01G011400	Glyma01g01491
Glyma.01G011500	Glyma01g01500
Glyma.01G011600	Glyma01g01510
Glyma.01G011700	Glyma01g01521
Glyma.01G011800	Glyma01g01530
Glyma.01G011900	Glyma01g01550
Glyma.01G012000	Glyma01g01560
Glyma.01G012100	Glyma01g01570
Glyma.01G012200	Glyma01g01580
Glyma.01G012300	Glyma01g01590
Glyma.01G012400	Glyma01g01601
Glyma.01G012500	Glyma01g01610
Glyma.01G012800	Glyma01g01630
Glyma.01G012900	Glyma01g01641
Glyma.01G013000	Glyma01g01651
Glyma.01G012600	Glyma01g01671
Glyma.01G013100	Glyma01g01680
Glyma.01G013200	Glyma01g01690
Glyma.01G013300	Glyma01g01700
Glyma.01G013400	Glyma01g01715
Glyma.01G013500	Glyma01g01730
Glyma.01G013600	Glyma01g01740
Glyma.01G013800	Glyma01g01750
Glyma.01G013900	Glyma01g01770
Glyma.01G014000	Glyma01g01780
Glyma.01G014100	Glyma01g01790
Glyma.01G014200	Glyma01g01805
Glyma.01G014300	Glyma01g01820
Glyma.01G014400	Glyma01g01830
Glyma.01G014500	Glyma01g01840
Glyma.01G014600	Glyma01g01850
Glyma.01G014700	Glyma01g01860
Glyma.01G014800	Glyma01g01875
Glyma.01G014900	Glyma01g01890
Glyma.01G015000	Glyma01g01900
Glyma.01G015100	Glyma01g01910
Glyma.01G015200	Glyma01g01920
Glyma.01G015300	Glyma01g01930
Glyma.01G015400	Glyma01g01940
Glyma.01G015500	Glyma01g01950
Glyma.01G015600	Glyma01g01960
Glyma.01G015700	Glyma01g01970
Glyma.01G015800	Glyma01g01980
Glyma.01G015900	Glyma01g01990
Glyma.01G016000	Glyma01g02020
Glyma.01G016100	Glyma01g02031
Glyma.01G016400	Glyma01g02050
Glyma.01G016500	Glyma01g02060
Glyma.01G016600	Glyma01g02070
Glyma.01G016700	Glyma01g02080
Glyma.01G016800	Glyma01g02090
Glyma.01G016900	Glyma01g02100
Glyma.01G017000	Glyma01g02110
Glyma.01G017100	Glyma01g02120
Glyma.01G017200	Glyma01g02130
Glyma.01G017300	Glyma01g02140
Glyma.01G017400	Glyma01g02150
Glyma.01G017500	Glyma01g02160
Glyma.01G017600	Glyma01g02171
Glyma.01G017700	Glyma01g02180
Glyma.01G017800	Glyma01g02190
Glyma.01G017900	Glyma01g02200
Glyma.01G018000	Glyma01g02215
Glyma.01G018200	Glyma01g02235
Glyma.01G018300	Glyma01g02240
Glyma.01G018400	Glyma01g02251
Glyma.01G018500	Glyma01g02260
Glyma.01G018600	Glyma01g02270
Glyma.01G018700	Glyma01g02280
Glyma.01G018800	Glyma01g02290
Glyma.01G018900	Glyma01g02295
Glyma.01G019000	Glyma01g02300
Glyma.01G019100	Glyma01g02321
Glyma.01G019200	Glyma01g02330
Glyma.01G019300	Glyma01g02340
Glyma.01G019400	Glyma01g02350
Glyma.01G019500	Glyma01g02360
Glyma.01G019600	Glyma01g02380
Glyma.01G019700	Glyma01g02390
Glyma.01G019800	Glyma01g02400
Glyma.01G019900	Glyma01g02420
Glyma.01G020000	Glyma01g02435
Glyma.01G020100	Glyma01g02451
Glyma.01G020200	Glyma01g02465
Glyma.01G020300	Glyma01g02480
Glyma.01G020400	Glyma01g02510
Glyma.01G020500	Glyma01g02525
Glyma.01G020600	Glyma01g02540
Glyma.01G020700	Glyma01g02550
Glyma.01G020800	Glyma01g02560
Glyma.01G020900	Glyma01g02570
Glyma.01G021000	Glyma01g02580
Glyma.01G021100	Glyma01g02610
Glyma.01G021200	Glyma01g02620
Glyma.01G021300	Glyma01g02630
Glyma.01G021400	Glyma01g02640
Glyma.01G021600	Glyma01g02660
Glyma.01G021700	Glyma01g02670
Glyma.01G021900	Glyma01g02691
Glyma.01G022000	Glyma01g02710
Glyma.01G022100	Glyma01g02720
Glyma.01G022300	Glyma01g02740
Glyma.01G022400	Glyma01g02750
Glyma.01G022500	Glyma01g02760
Glyma.01G022600	Glyma01g02780
Glyma.01G022700	Glyma01g02790
Glyma.01G022800	Glyma01g02800
Glyma.01G022900	Glyma01g02810
Glyma.01G023000	Glyma01g02820
Glyma.01G023100	Glyma01g02830
Glyma.01G023200	Glyma01g02840
Glyma.01G023300	Glyma01g02850
Glyma.01G023500	Glyma01g02880
Glyma.01G023600	Glyma01g02890
Glyma.01G023700	Glyma01g02900
Glyma.01G023900	Glyma01g02941
Glyma.01G024000	Glyma01g02950
Glyma.01G024100	Glyma01g02963
Glyma.01G024300	Glyma01g02990
Glyma.01G024500	Glyma01g03005
Glyma.01G024600	Glyma01g03020
Glyma.01G024700	Glyma01g03030
Glyma.01G024800	Glyma01g03040
Glyma.01G024900	Glyma01g03050
Glyma.01G025000	Glyma01g03060
Glyma.01G025100	Glyma01g03070
Glyma.01G025200	Glyma01g03090
Glyma.01G025300	Glyma01g03100
Glyma.01G025400	Glyma01g03110
Glyma.01G025500	Glyma01g03120
Glyma.01G025600	Glyma01g03130
Glyma.01G025700	Glyma01g03140
Glyma.01G025800	Glyma01g03150
Glyma.01G026000	Glyma01g03160
Glyma.01G026100	Glyma01g03180
Glyma.01G026200	Glyma01g03190
Glyma.01G026400	Glyma01g03210
Glyma.01G026500	Glyma01g03220
Glyma.01G026600	Glyma01g03240
Glyma.01G026700	Glyma01g03260
Glyma.01G026800	Glyma01g03270
Glyma.01G027000	Glyma01g03310
Glyma.01G027100	Glyma01g03321
Glyma.01G027300	Glyma01g03330
Glyma.01G027400	Glyma01g03340
Glyma.01G027500	Glyma01g03360
Glyma.01G027600	Glyma01g03371
Glyma.01G027700	Glyma01g03380
Glyma.01G027800	Glyma01g03390
Glyma.01G027900	Glyma01g03400
Glyma.01G028000	Glyma01g03410
Glyma.01G028100	Glyma01g03420
Glyma.01G028200	Glyma01g03430
Glyma.01G028300	Glyma01g03450
Glyma.01G028500	Glyma01g03470
Glyma.01G028600	Glyma01g03480
Glyma.01G028700	Glyma01g03490
Glyma.01G028800	Glyma01g03500
Glyma.01G028900	Glyma01g03530
Glyma.01G029000	Glyma01g03540
Glyma.01G029100	Glyma01g03550
Glyma.01G029200	Glyma01g03570
Glyma.01G029300	Glyma01g03580
Glyma.01G029400	Glyma01g03590
Glyma.01G029500	Glyma01g03600
Glyma.01G029600	Glyma01g03610
Glyma.01G029700	Glyma01g03621
Glyma.01G029800	Glyma01g03650
Glyma.01G030000	Glyma01g03670
Glyma.01G030200	Glyma01g03690
Glyma.01G030300	Glyma01g03700
Glyma.01G030400	Glyma01g03710
Glyma.01G030500	Glyma01g03720
Glyma.01G030600	Glyma01g03730
Glyma.01G030800	Glyma01g03750
Glyma.01G030900	Glyma01g03760
Glyma.01G031200	Glyma01g03780
Glyma.01G031300	Glyma01g03790
Glyma.01G031400	Glyma01g03810
Glyma.01G031500	Glyma01g03820
Glyma.01G031700	Glyma01g03830
Glyma.01G031800	Glyma01g03850
Glyma.01G031900	Glyma01g03870
Glyma.01G032000	Glyma01g03880
Glyma.01G032100	Glyma01g03890
Glyma.01G032200	Glyma01g03900
Glyma.01G032300	Glyma01g03910
Glyma.01G032400	Glyma01g03921
Glyma.01G032500	Glyma01g03930
Glyma.01G032600	Glyma01g03940
Glyma.01G032800	Glyma01g03972
Glyma.01G032900	Glyma01g03980
Glyma.01G033300	Glyma01g04000
Glyma.01G033500	Glyma01g04015
Glyma.01G033600	Glyma01g04030
Glyma.01G033700	Glyma01g04040
Glyma.01G033800	Glyma01g04050
Glyma.01G033900	Glyma01g04060
Glyma.01G034000	Glyma01g04070
Glyma.01G034100	Glyma01g04080
Glyma.01G034200	Glyma01g04090
Glyma.01G034300	Glyma01g04100
Glyma.01G034400	Glyma01g04107
Glyma.01G034500	Glyma01g04114
Glyma.01G034600	Glyma01g04122
Glyma.01G034700	Glyma01g04130
Glyma.01G034800	Glyma01g04140
Glyma.01G034900	Glyma01g04151
Glyma.01G035000	Glyma01g04160
Glyma.01G035100	Glyma01g04170
Glyma.01G035300	Glyma01g04190
Glyma.01G035400	Glyma01g04200
Glyma.01G035500	Glyma01g04210
Glyma.01G035600	Glyma01g04220
Glyma.01G035700	Glyma01g04230
Glyma.01G035800	Glyma01g04241
Glyma.01G036000	Glyma01g04250
Glyma.01G036200	Glyma01g04270
Glyma.01G036300	Glyma01g04285
Glyma.01G036500	Glyma01g04300
Glyma.01G036600	Glyma01g04310
Glyma.01G036700	Glyma01g04320
Glyma.01G036800	Glyma01g04340
Glyma.01G036900	Glyma01g04350
Glyma.01G037000	Glyma01g04361
Glyma.01G037100	Glyma01g04370
Glyma.01G037200	Glyma01g04380
Glyma.01G037300	Glyma01g04400
Glyma.01G037400	Glyma01g04410
Glyma.01G037500	Glyma01g04421
Glyma.01G037600	Glyma01g04430
Glyma.01G037700	Glyma01g04440
Glyma.01G037800	Glyma01g04450
Glyma.01G037900	Glyma01g04460
Glyma.01G038000	Glyma01g04468
Glyma.01G038100	Glyma01g04476
Glyma.01G038200	Glyma01g04484
Glyma.01G038300	Glyma01g04492
Glyma.01G038400	Glyma01g04500
Glyma.01G038500	Glyma01g04515
Glyma.01G038600	Glyma01g04530
Glyma.01G038700	Glyma01g04560
Glyma.01G038800	Glyma01g04570
Glyma.01G038900	Glyma01g04580
Glyma.01G039000	Glyma01g04590
Glyma.01G039100	Glyma01g04600
Glyma.01G039200	Glyma01g04610
Glyma.01G039300	Glyma01g04616
Glyma.01G039400	Glyma01g04623
Glyma.01G039500	Glyma01g04630
Glyma.01G039600	Glyma01g04640
Glyma.01G039700	Glyma01g04650
Glyma.01G039800	Glyma01g04660
Glyma.01G039900	Glyma01g04670
Glyma.01G040000	Glyma01g04690
Glyma.01G040200	Glyma01g04710
Glyma.01G040300	Glyma01g04720
Glyma.01G040400	Glyma01g04730
Glyma.01G040500	Glyma01g04740
Glyma.01G040600	Glyma01g04750
Glyma.01G040700	Glyma01g04760
Glyma.01G040800	Glyma01g04770
Glyma.01G041000	Glyma01g04780
Glyma.01G040900	Glyma01g04791
Glyma.01G041100	Glyma01g04800
Glyma.01G041200	Glyma01g04810
Glyma.01G041300	Glyma01g04820
Glyma.01G041400	Glyma01g04830
Glyma.01G041500	Glyma01g04860
Glyma.01G041700	Glyma01g04890
Glyma.01G041900	Glyma01g04895
Glyma.01G042100	Glyma01g04900
Glyma.01G042300	Glyma01g04920
Glyma.01G042400	Glyma01g04930
Glyma.01G042600	Glyma01g04950
Glyma.01G042700	Glyma01g04970
Glyma.01G042800	Glyma01g04980
Glyma.01G042900	Glyma01g04991
Glyma.01G043000	Glyma01g05000
Glyma.01G043100	Glyma01g05020
Glyma.01G043300	Glyma01g05050
Glyma.01G043400	Glyma01g05060
Glyma.01G043600	Glyma01g05080
Glyma.01G043700	Glyma01g05090
Glyma.01G043800	Glyma01g05100
Glyma.01G043900	Glyma01g05110
Glyma.01G044000	Glyma01g05150
Glyma.01G044100	Glyma01g05160
Glyma.01G044200	Glyma01g05170
Glyma.01G044400	Glyma01g05180
Glyma.01G044300	Glyma01g05190
Glyma.01G044500	Glyma01g05220
Glyma.01G044600	Glyma01g05230
Glyma.01G044800	Glyma01g05310
Glyma.01G044900	Glyma01g05321
Glyma.01G045100	Glyma01g05340
Glyma.01G045200	Glyma01g05350
Glyma.01G045300	Glyma01g05360
Glyma.01G045400	Glyma01g05370
Glyma.01G045500	Glyma01g05410
Glyma.01G045700	Glyma01g05430
Glyma.01G045800	Glyma01g05440
Glyma.01G045900	Glyma01g05450
Glyma.01G046000	Glyma01g05470
Glyma.01G046200	Glyma01g05490
Glyma.01G046300	Glyma01g05500
Glyma.01G046400	Glyma01g05540
Glyma.01G046500	Glyma01g05550
Glyma.01G046600	Glyma01g05565
Glyma.01G046700	Glyma01g05580
Glyma.01G046800	Glyma01g05680
Glyma.01G046900	Glyma01g05710
Glyma.01G047000	Glyma01g05740
Glyma.01G047100	Glyma01g05750
Glyma.01G047200	Glyma01g05760
Glyma.01G047300	Glyma01g05765
Glyma.01G047400	Glyma01g05770
Glyma.01G047500	Glyma01g05775
Glyma.01G047600	Glyma01g05780
Glyma.01G047700	Glyma01g05800
Glyma.01G047800	Glyma01g05805
Glyma.01G047900	Glyma01g05810
Glyma.01G048000	Glyma01g05820
Glyma.01G048100	Glyma01g05830
Glyma.01G048200	Glyma01g05840
Glyma.01G048400	Glyma01g05850
Glyma.01G048500	Glyma01g05860
Glyma.01G048600	Glyma01g05871
Glyma.01G048700	Glyma01g05880
Glyma.01G048800	Glyma01g05890
Glyma.01G049100	Glyma01g05920
Glyma.01G049200	Glyma01g05933
Glyma.01G049300	Glyma01g05946
Glyma.01G049400	Glyma01g05960
Glyma.01G049500	Glyma01g05970
Glyma.01G049600	Glyma01g05980
Glyma.01G049800	Glyma01g06001
Glyma.01G049900	Glyma01g06010
Glyma.01G050100	Glyma01g06030
Glyma.01G050400	Glyma01g06060
Glyma.01G050500	Glyma01g06080
Glyma.01G050600	Glyma01g06091
Glyma.01G050900	Glyma01g06110
Glyma.01G051000	Glyma01g06121
Glyma.01G051100	Glyma01g06131
Glyma.01G051200	Glyma01g06140
Glyma.01G051300	Glyma01g06150
Glyma.01G051400	Glyma01g06170
Glyma.01G051600	Glyma01g06181
Glyma.01G051700	Glyma01g06192
Glyma.01G051800	Glyma01g06203
Glyma.01G051900	Glyma01g06214
Glyma.01G052000	Glyma01g06250
Glyma.01G052200	Glyma01g06260
Glyma.01G052300	Glyma01g06265
Glyma.01G052400	Glyma01g06270
Glyma.01G052500	Glyma01g06281
Glyma.01G052600	Glyma01g06290
Glyma.01G052700	Glyma01g06300
Glyma.01G052800	Glyma01g06320
Glyma.01G053100	Glyma01g06370
Glyma.01G053200	Glyma01g06380
Glyma.01G053300	Glyma01g06450
Glyma.01G053500	Glyma01g06480
Glyma.01G053600	Glyma01g06530
Glyma.01G053700	Glyma01g06540
Glyma.01G053800	Glyma01g06550
Glyma.01G053900	Glyma01g06575
Glyma.01G054000	Glyma01g06600
Glyma.01G054100	Glyma01g06610
Glyma.01G054200	Glyma01g06620
Glyma.01G054300	Glyma01g06630
Glyma.01G054400	Glyma01g06640
Glyma.01G054500	Glyma01g06660
Glyma.01G054700	Glyma01g06671
Glyma.01G054800	Glyma01g06681
Glyma.01G054900	Glyma01g06690
Glyma.01G055000	Glyma01g06700
Glyma.01G055200	Glyma01g06720
Glyma.01G055300	Glyma01g06730
Glyma.01G055400	Glyma01g06740
Glyma.01G055500	Glyma01g06750
Glyma.01G055600	Glyma01g06762
Glyma.01G055700	Glyma01g06774
Glyma.01G055800	Glyma01g06787
Glyma.01G055900	Glyma01g06800
Glyma.01G056000	Glyma01g06810
Glyma.01G056100	Glyma01g06820
Glyma.01G056200	Glyma01g06830
Glyma.01G056300	Glyma01g06840
Glyma.01G056400	Glyma01g06850
Glyma.01G056500	Glyma01g06860
Glyma.01G056800	Glyma01g06870
Glyma.01G056900	Glyma01g06880
Glyma.01G057000	Glyma01g06902
Glyma.01G057100	Glyma01g06970
Glyma.01G057200	Glyma01g06980
Glyma.01G057300	Glyma01g06995
Glyma.01G057400	Glyma01g07010
Glyma.01G057500	Glyma01g07020
Glyma.01G057600	Glyma01g07040
Glyma.01G057700	Glyma01g07046
Glyma.01G057800	Glyma01g07053
Glyma.01G057900	Glyma01g07060
Glyma.01G058000	Glyma01g07070
Glyma.01G058100	Glyma01g07080
Glyma.01G058200	Glyma01g07091
Glyma.01G058300	Glyma01g07100
Glyma.01G058400	Glyma01g07110
Glyma.01G058500	Glyma01g07120
Glyma.01G058600	Glyma01g07130
Glyma.01G058700	Glyma01g07140
Glyma.01G058900	Glyma01g07155
Glyma.01G059000	Glyma01g07160
Glyma.01G059100	Glyma01g07175
Glyma.01G059200	Glyma01g07190
Glyma.01G059300	Glyma01g07212
Glyma.01G059500	Glyma01g07256
Glyma.01G059800	Glyma01g07278
Glyma.01G059900	Glyma01g07300
Glyma.01G060100	Glyma01g07343
Glyma.01G060200	Glyma01g07366
Glyma.01G060300	Glyma01g07390
Glyma.01G060400	Glyma01g07416
Glyma.01G060600	Glyma01g07470
Glyma.01G060700	Glyma01g07530
Glyma.01G061000	Glyma01g07567
Glyma.01G061100	Glyma01g07580
Glyma.01G061200	Glyma01g07601
Glyma.01G061400	Glyma01g07621
Glyma.01G061500	Glyma01g07641
Glyma.01G061600	Glyma01g07661
Glyma.01G061700	Glyma01g07680
Glyma.01G061800	Glyma01g07690
Glyma.01G061900	Glyma01g07743
Glyma.01G062000	Glyma01g07770
Glyma.01G062100	Glyma01g07780
Glyma.01G062200	Glyma01g07791
Glyma.01G062300	Glyma01g07800
Glyma.01G062400	Glyma01g07860
Glyma.01G062700	Glyma01g07876
Glyma.01G062800	Glyma01g07893
Glyma.01G062900	Glyma01g07910
Glyma.01G063000	Glyma01g07930
Glyma.01G063100	Glyma01g07940
Glyma.01G063300	Glyma01g08001
Glyma.01G063400	Glyma01g08015
Glyma.01G063500	Glyma01g08030
Glyma.01G063600	Glyma01g08043
Glyma.01G063700	Glyma01g08056
Glyma.01G063800	Glyma01g08080
Glyma.01G063900	Glyma01g08096
Glyma.01G064100	Glyma01g08130
Glyma.01G064200	Glyma01g08150
Glyma.01G064300	Glyma01g08191
Glyma.01G064400	Glyma01g08230
Glyma.01G064500	Glyma01g08250
Glyma.01G064600	Glyma01g08260
Glyma.01G064800	Glyma01g08400
Glyma.01G064900	Glyma01g08540
Glyma.01G065000	Glyma01g08560
Glyma.01G065100	Glyma01g08580
Glyma.01G065200	Glyma01g08586
Glyma.01G065300	Glyma01g08593
Glyma.01G065400	Glyma01g08600
Glyma.01G065500	Glyma01g08610
Glyma.01G065600	Glyma01g08621
Glyma.01G065700	Glyma01g08631
Glyma.01G065800	Glyma01g08640
Glyma.01G066000	Glyma01g08690
Glyma.01G066100	Glyma01g08730
Glyma.01G066300	Glyma01g08760
Glyma.01G066400	Glyma01g08870
Glyma.01G066500	Glyma01g08980
Glyma.01G066600	Glyma01g09010
Glyma.01G066700	Glyma01g09040
Glyma.01G066800	Glyma01g09066
Glyma.01G066900	Glyma01g09093
Glyma.01G067000	Glyma01g09120
Glyma.01G067100	Glyma01g09160
Glyma.01G067200	Glyma01g09190
Glyma.01G067600	Glyma01g09220
Glyma.01G067700	Glyma01g09251
Glyma.01G067800	Glyma01g09280
Glyma.01G067900	Glyma01g09290
Glyma.01G068000	Glyma01g09310
Glyma.01G068100	Glyma01g09350
Glyma.01G068200	Glyma01g09360
Glyma.01G068500	Glyma01g09381
Glyma.01G068600	Glyma01g09400
Glyma.01G068700	Glyma01g09410
Glyma.01G068800	Glyma01g09420
Glyma.01G069000	Glyma01g09460
Glyma.01G069100	Glyma01g09481
Glyma.01G069200	Glyma01g09500
Glyma.01G069300	Glyma01g09510
Glyma.01G069400	Glyma01g09515
Glyma.01G069500	Glyma01g09520
Glyma.01G069700	Glyma01g09581
Glyma.01G070300	Glyma01g09660
Glyma.01G070400	Glyma01g09900
Glyma.01G070800	Glyma01g09948
Glyma.01G070900	Glyma01g09976
Glyma.01G071000	Glyma01g10004
Glyma.01G071100	Glyma01g10032
Glyma.01G071400	Glyma01g10070
Glyma.01G071300	Glyma01g10081
Glyma.01G071600	Glyma01g10090
Glyma.01G071700	Glyma01g10100
Glyma.01G071900	Glyma01g10141
Glyma.01G072000	Glyma01g10160
Glyma.01G072100	Glyma01g10183
Glyma.01G072200	Glyma01g10206
Glyma.01G072300	Glyma01g10231
Glyma.01G072400	Glyma01g10254
Glyma.01G072500	Glyma01g10302
Glyma.01G072700	Glyma01g10326
Glyma.01G072800	Glyma01g10350
Glyma.01G073100	Glyma01g10390
Glyma.01G095300	Glyma01g10600
Glyma.01G095100	Glyma01g10610
Glyma.01G094600	Glyma01g10730
Glyma.01G094800	Glyma01g10850
Glyma.01G094900	Glyma01g10880
Glyma.01G095000	Glyma01g10900
Glyma.01G095600	Glyma01g11110
Glyma.01G095700	Glyma01g11130
